1.10457E+12,-5.1
1.10457E+12,-5.2
1.10457E+12,-5.4
1.10458E+12,-5.8
1.10458E+12,-6.3
1.10458E+12,-6.8
1.10459E+12,-7.2
1.10459E+12,-7.3
1.1046E+12,-6.5
1.1046E+12,-4.5
1.1046E+12,-1.8
1.10461E+12,1.2
1.10461E+12,3.9
1.10461E+12,5.8
1.10462E+12,6.6
1.10462E+12,6.2
1.10462E+12,5.3
1.10463E+12,4
1.10463E+12,2.4
1.10463E+12,0.9
1.10464E+12,-0.4
1.10464E+12,-1.4
1.10465E+12,-2
1.10465E+12,-2.5
1.10465E+12,-2.9
1.10466E+12,-3.2
1.10466E+12,-3.7
1.10466E+12,-4.3
1.10467E+12,-5
1.10467E+12,-5.6
1.10467E+12,-6.1
1.10468E+12,-6.3
1.10468E+12,-5.6
1.10469E+12,-3.7
1.10469E+12,-1
1.10469E+12,2
1.1047E+12,4.8
1.1047E+12,7.1
1.1047E+12,8.3
1.10471E+12,8.4
1.10471E+12,7.8
1.10471E+12,6.4
1.10472E+12,4.6
1.10472E+12,3.1
1.10472E+12,2.2
1.10473E+12,2.2
1.10473E+12,2.1
1.10474E+12,1.8
1.10474E+12,1.4
1.10474E+12,0.9
1.10475E+12,0.4
1.10475E+12,0.1
1.10475E+12,-0.1
1.10476E+12,-0.2
1.10476E+12,-0.4
1.10476E+12,-0.5
1.10477E+12,-0.8
1.10477E+12,-1.2
1.10478E+12,-1.6
1.10478E+12,-2.1
1.10478E+12,-2.5
1.10479E+12,-2.8
1.10479E+12,-2.9
1.10479E+12,-3.2
1.1048E+12,-3.8
1.1048E+12,-4.5
1.1048E+12,-5.2
1.10481E+12,-5.5
1.10481E+12,-5.4
1.10481E+12,-5.3
1.10482E+12,-5.4
1.10482E+12,-5.6
1.10483E+12,-5.9
1.10483E+12,-6.5
1.10483E+12,-7.2
1.10484E+12,-8.1
1.10484E+12,-9.1
1.10484E+12,-10
1.10485E+12,-10.7
1.10485E+12,-10.9
1.10485E+12,-10.7
1.10486E+12,-9.8
1.10486E+12,-8.5
1.10487E+12,-6.7
1.10487E+12,-4.8
1.10487E+12,-2.8
1.10488E+12,-1
1.10488E+12,0.1
1.10488E+12,-0.1
1.10489E+12,-0.8
1.10489E+12,-1.6
1.10489E+12,-2.5
1.1049E+12,-3.3
1.1049E+12,-3.9
1.1049E+12,-4.4
1.10491E+12,-4.8
1.10491E+12,-5.1
1.10492E+12,-5.6
1.10492E+12,-6.1
1.10492E+12,-6.8
1.10493E+12,-7.6
1.10493E+12,-8.3
1.10493E+12,-8.8
1.10494E+12,-9
1.10494E+12,-8.2
1.10494E+12,-6.5
1.10495E+12,-4.4
1.10495E+12,-2.1
1.10496E+12,0.1
1.10496E+12,1.9
1.10496E+12,3
